Manuf_Year,Brand,Model,Variant,Driver_KM,Fuel,Transmission,Location,Price
2016,Nissan,Terrano ,XL,55000.00,Petrol,Manual,New Delhi,590000
2016,Audi,A3 ,35 TDI Premium Plus,79000.00,Diesel,Automatic,New Delhi,1575000
2014,Mahindra,Scorpio ,VLX SE BSIV,75000.00,Diesel,Manual,New Delhi,550000
2013,Porsche,Cayenne ,Diesel,55000.00,Diesel,Automatic,New Delhi,2490000
2015,Land,Rover Range,Pure,85000.00,Diesel,Automatic,New Delhi,2990000
2017,Hyundai,Grand i10,1.2 Kappa Era,60000.00,Petrol,Manual,New Delhi,400000
2014,Honda,City ,i VTEC CVT VX,44000.00,Petrol,Automatic,New Delhi,690000
2016,Honda,Mobilio ,S i-DTEC,52000.00,Diesel,Manual,New Delhi,445000
2018,Audi,Q3 ,30 TFSI Premium FWD,35000.00,Petrol,Automatic,New Delhi,2790000
2009,Audi,A6 ,2.8 FSI,59000.00,Petrol,Automatic,New Delhi,635000
2017,Mahindra,Bolero ,mHAWK D70 ZLX,64800.00,Diesel,Manual,New Delhi,650000
2013,Toyota,Fortuner ,4x2 Manual,80000.00,Diesel,Manual,New Delhi,1100000
2020,Maruti,Swift ,LXI,12000.00,Petrol,Manual,New Delhi,565001
2009,Honda,Civic ,1.8 S MT,84000.00,Petrol,Manual,New Delhi,299000
2012,Honda,Brio ,S MT,69000.00,Petrol,Manual,New Delhi,260000
2016,Mahindra,KUV 100,mFALCON D75 K4 Plus,50000.00,Diesel,Manual,New Delhi,315000
2015,Ford,Ecosport ,1.5 DV5 MT Titanium Optional,53000.00,Diesel,Manual,New Delhi,495000
2011,Hyundai,Verna ,1.6 SX VTVT (O),55000.00,Petrol,Manual,New Delhi,360000
2017,Hyundai,Grand i10,1.2 CRDi Sportz,54000.00,Diesel,Manual,New Delhi,410000
2018,Ford,Ecosport ,1.5 Petrol Titanium Plus,46000.00,Petrol,Manual,New Delhi,765000
2018,Hyundai,Creta ,1.6 SX Dual Tone,67000.00,Petrol,Manual,New Delhi,1165000
2015,Hyundai,Creta ,1.6 SX,65000.00,Petrol,Manual,New Delhi,825000
2012,Maruti,Eeco ,5 STR With AC Plus HTR CNG,120000.00,CNG,Manual,New Delhi,175000
2009,Maruti,Alto ,LXi BSIII,100000.00,Petrol,Manual,New Delhi,90000
2014,Mahindra,Scorpio ,SLE 7S BSIV,67000.00,Diesel,Manual,New Delhi,495000
2013,Maruti,Ertiga ,VDI Limited Edition,68932.00,Diesel,Manual,New Delhi,425009
2014,Honda,City ,i VTEC CVT VX,44000.00,Petrol,Automatic,New Delhi,690000
2009,Maruti,SX4 ,Zxi BSIII,65000.00,Petrol,Manual,New Delhi,199000
2011,Honda,City ,i VTEC S,69000.00,Petrol,Manual,New Delhi,361000
